Test folder: ./output/december/train_data_39430/data_39430/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-0-39k| 0.8444 | 0.8637 |  0.76  | 0.939  | 0.9673 |  0.76  | 0.3733 | 0.2412 | 0.7186 
ours-1-47k| 0.8418 | 0.8639 | 0.757  | 0.9348 | 0.9672 | 0.757  | 0.3737 | 0.2428 | 0.7173 
ours-1-48k| 0.8409 | 0.8612 | 0.752  | 0.9418 | 0.9672 | 0.752  | 0.375  | 0.2418 | 0.7165 
ours-1-52k| 0.8384 | 0.861  | 0.755  | 0.9292 | 0.9712 | 0.755  |  0.37  | 0.2438 | 0.7155 
ours-0-33k| 0.8418 | 0.8619 | 0.752  | 0.9325 | 0.9689 | 0.752  | 0.3707 | 0.242  | 0.7152 
ours-0-31k| 0.841  | 0.8606 | 0.751  | 0.9345 | 0.9705 | 0.751  | 0.3697 | 0.242  | 0.715  
ours-0-30k| 0.8418 | 0.861  |  0.75  | 0.9357 | 0.9672 |  0.75  | 0.3697 |  0.24  | 0.7144 
ours-0-35k| 0.8377 | 0.8591 | 0.747  | 0.9383 | 0.9695 | 0.747  | 0.3727 | 0.2416 | 0.7141 
ours-0-37k| 0.8385 | 0.8574 | 0.751  | 0.9322 | 0.9701 | 0.751  | 0.3703 | 0.242  | 0.7141 
ours-1-45k| 0.8377 | 0.8581 | 0.752  | 0.9325 | 0.9661 | 0.752  | 0.3717 | 0.2416 | 0.714  
ours-0-36k| 0.8355 | 0.8568 | 0.748  | 0.9242 | 0.9719 | 0.748  | 0.3663 | 0.2426 | 0.7117 
ours-1-44k| 0.8352 | 0.8558 | 0.745  | 0.9293 | 0.9659 | 0.745  | 0.371  | 0.242  | 0.7111 
ours-0-34k| 0.8366 | 0.8564 | 0.741  | 0.934  | 0.9681 | 0.741  | 0.3703 | 0.2402 | 0.711  
ours-0-32k| 0.8346 | 0.8545 | 0.742  | 0.9262 | 0.9662 | 0.742  | 0.365  | 0.2398 | 0.7088 
ours-0-25k| 0.8288 | 0.8484 | 0.729  | 0.9383 | 0.9681 | 0.729  | 0.3723 | 0.2414 | 0.7069 
ours-0-27k| 0.8318 | 0.8485 | 0.732  | 0.9328 | 0.9671 | 0.732  | 0.3697 | 0.2412 | 0.7069 
ours-0-24k| 0.8268 | 0.8469 | 0.728  | 0.9332 | 0.9715 | 0.728  | 0.3717 | 0.2432 | 0.7062 
ours-0-26k| 0.8299 | 0.8487 | 0.734  | 0.9283 | 0.9666 | 0.734  | 0.3667 | 0.2402 | 0.7061 
ours-0-28k| 0.8303 | 0.8495 | 0.734  | 0.928  | 0.9664 | 0.734  | 0.366  | 0.2396 | 0.706  
ours-0-29k| 0.8304 | 0.8495 | 0.731  | 0.9295 | 0.967  | 0.731  | 0.368  | 0.2408 | 0.7059 
ours-0-23k| 0.8193 | 0.8395 | 0.717  | 0.929  | 0.9671 | 0.717  | 0.368  | 0.241  | 0.6997 
ours-0-19k| 0.8162 | 0.8354 | 0.711  | 0.9222 | 0.9646 | 0.711  | 0.3647 | 0.2404 | 0.6957 
ours-0-22k| 0.8125 | 0.8333 | 0.706  | 0.9235 | 0.964  | 0.706  | 0.3643 | 0.2394 | 0.6936 
ours-0-21k| 0.8115 | 0.8301 | 0.698  |  0.93  | 0.9695 | 0.698  | 0.3673 | 0.242  | 0.6933 
ours-0-18k| 0.8112 | 0.8299 | 0.695  | 0.9248 | 0.9665 | 0.695  | 0.3647 | 0.2404 | 0.6909 
